trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.4, 'e': 0.9780309147241483}",20,0,-193.83743396827415,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
107,False,"{'a': 0.4, 'e': 0.9776120391412251}",30,0,-95.95672052501331,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
108,False,"{'a': 0.4, 'e': 0.9771892531114489}",25,0,-60.53143949999973,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
109,False,"{'a': 0.4, 'e': 0.9767625583259631}",20,0,-98.07435904533577,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
110,False,"{'a': 0.4, 'e': 0.9763319564915464}",25,0,-147.1679656600483,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
111,False,"{'a': 0.4, 'e': 0.9758974493306055}",35,0,-176.2592702116619,"{0: 23, 1: 1, 2: 8, 3: 0, 4: 3}",0
112,False,"{'a': 0.4, 'e': 0.9754590385811684}",30,0,-110.37828228456775,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.4, 'e': 0.9750167259968777}",20,0,-52.98340712851835,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
114,False,"{'a': 0.4, 'e': 0.974570513346983}",25,0,-76.3978505294855,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
115,False,"{'a': 0.4, 'e': 0.9741204024163344}",20,0,-51.91462318816969,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
116,False,"{'a': 0.4, 'e': 0.9736663950053749}",35,0,-219.89163053530504,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
117,False,"{'a': 0.4, 'e': 0.9732084929301336}",25,5,-70.79661847668257,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",1
118,False,"{'a': 0.4, 'e': 0.9727466980222181}",20,0,-105.06850637639896,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
119,False,"{'a': 0.4, 'e': 0.9722810121288076}",20,0,-111.01357808185696,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
120,False,"{'a': 0.4, 'e': 0.971811437112645}",35,0,-192.95770102495374,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
121,False,"{'a': 0.4, 'e': 0.9713379748520297}",20,0,-85.67125846323782,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.4, 'e': 0.97086062724081}",20,0,-92.79198843408301,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
123,False,"{'a': 0.4, 'e': 0.9703793961883759}",25,0,-118.080070609114,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
124,False,"{'a': 0.4, 'e': 0.9698942836196508}",20,0,-92.50608786915048,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
125,False,"{'a': 0.4, 'e': 0.9694052914750845}",30,0,-194.90668558535148,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
126,False,"{'a': 0.4, 'e': 0.9689124217106447}",30,0,-100.73684472451717,"{0: 16, 1: 5, 2: 8, 3: 1, 4: 0}",0
127,False,"{'a': 0.4, 'e': 0.9684156762978101}",30,0,-212.10218625580023,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
128,False,"{'a': 0.4, 'e': 0.9679150572235615}",20,0,-68.41467497255854,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
129,False,"{'a': 0.4, 'e': 0.9674105664903746}",30,0,-142.54659056179992,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
130,False,"{'a': 0.4, 'e': 0.9669022061162116}",25,0,-112.6102787380477,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
131,False,"{'a': 0.4, 'e': 0.9663899781345132}",20,0,-92.23704234970202,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
132,False,"{'a': 0.4, 'e': 0.9658738845941909}",20,0,-33.881955414808125,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.4, 'e': 0.965353927559618}",20,0,-112.09089157355858,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
134,False,"{'a': 0.4, 'e': 0.9648301091106221}",20,0,-119.32454478753039,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
135,False,"{'a': 0.4, 'e': 0.9643024313424761}",20,0,-71.32123449104948,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
136,False,"{'a': 0.4, 'e': 0.9637708963658905}",20,0,-216.7692399403244,"{0: 8, 1: 1, 2: 6, 3: 2, 4: 3}",0
137,False,"{'a': 0.4, 'e': 0.9632355063070045}",20,0,-42.24296783367385,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
138,False,"{'a': 0.4, 'e': 0.9626962633073776}",30,0,-153.53959746250317,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
139,False,"{'a': 0.4, 'e': 0.9621531695239809}",20,0,-30.907889192372444,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.9616062271291891}",25,0,-116.2608453229803,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
141,False,"{'a': 0.4, 'e': 0.9610554383107709}",25,0,-145.76944579206994,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
142,False,"{'a': 0.4, 'e': 0.9605008052718809}",20,0,-97.24254310057646,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
143,False,"{'a': 0.4, 'e': 0.9599423302310505}",20,2,-131.82918936771912,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 1}",1
144,False,"{'a': 0.4, 'e': 0.959380015422179}",20,0,-68.79213165327533,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
145,False,"{'a': 0.4, 'e': 0.9588138630945251}",30,0,-138.25594762149677,"{0: 15, 1: 3, 2: 10, 3: 2, 4: 0}",0
146,False,"{'a': 0.4, 'e': 0.9582438755126972}",30,0,-185.88583788849434,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
147,False,"{'a': 0.4, 'e': 0.9576700549566448}",20,0,-113.47006367889901,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.4, 'e': 0.9570924037216496}",25,0,-117.14416745210019,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
149,False,"{'a': 0.4, 'e': 0.9565109241183156}",20,0,-62.333028453943484,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
150,False,"{'a': 0.4, 'e': 0.9559256184725605}",25,0,-93.82143532043716,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
151,False,"{'a': 0.4, 'e': 0.955336489125606}",35,0,-125.42264138232557,"{0: 23, 1: 4, 2: 4, 3: 3, 4: 1}",0
152,False,"{'a': 0.4, 'e': 0.9547435384339689}",20,0,-134.45323836303223,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
153,False,"{'a': 0.4, 'e': 0.9541467687694509}",25,0,-23.98207337568919,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
154,False,"{'a': 0.4, 'e': 0.9535461825191301}",20,0,-45.414111036868135,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
155,False,"{'a': 0.4, 'e': 0.9529417820853506}",20,0,-69.47052522565785,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
156,False,"{'a': 0.4, 'e': 0.9523335698857134}",20,0,-82.82606399804799,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
157,False,"{'a': 0.4, 'e': 0.9517215483530664}",20,0,-76.87879569093388,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
158,False,"{'a': 0.4, 'e': 0.951105719935495}",35,0,-195.36614530858546,"{0: 20, 1: 3, 2: 8, 3: 2, 4: 2}",0
159,False,"{'a': 0.4, 'e': 0.9504860870963119}",20,0,-61.831306013518116,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
160,False,"{'a': 0.4, 'e': 0.9498626523140478}",25,0,-130.365530803866,"{0: 16, 1: 0, 2: 7, 3: 0, 4: 2}",0
161,False,"{'a': 0.4, 'e': 0.9492354180824408}",25,0,-111.64642932973479,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
162,False,"{'a': 0.4, 'e': 0.9486043869104273}",20,0,-109.50164822263557,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
163,False,"{'a': 0.4, 'e': 0.9479695613221308}",20,0,-123.68717461828841,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
164,False,"{'a': 0.4, 'e': 0.9473309438568531}",25,0,-104.46366334780002,"{0: 14, 1: 4, 2: 4, 3: 3, 4: 0}",0
165,False,"{'a': 0.4, 'e': 0.9466885370690631}",30,0,-62.19179894683453,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.4, 'e': 0.946042343528387}",20,0,-86.3012027108901,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
167,False,"{'a': 0.4, 'e': 0.9453923658195982}",30,0,-177.5231869389765,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
168,False,"{'a': 0.4, 'e': 0.9447386065426066}",20,0,-103.61134687075241,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
169,False,"{'a': 0.4, 'e': 0.9440810683124485}",25,0,-242.97785427429926,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 5}",0
170,False,"{'a': 0.4, 'e': 0.9434197537592759}",25,12,-26.42582896872184,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
171,False,"{'a': 0.4, 'e': 0.9427546655283462}",20,0,-124.60075923605015,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
172,False,"{'a': 0.4, 'e': 0.9420858062800114}",20,0,-83.53183236533283,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
173,False,"{'a': 0.4, 'e': 0.9414131786897075}",20,5,-22.450889970298356,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
174,False,"{'a': 0.4, 'e': 0.9407367854479443}",30,0,-155.65440753784105,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 2}",0
175,False,"{'a': 0.4, 'e': 0.9400566292602934}",25,0,-149.8112669830203,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
176,False,"{'a': 0.4, 'e': 0.9393727128473789}",20,0,-120.89256789850563,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
177,False,"{'a': 0.4, 'e': 0.9386850389448655}",30,0,-88.93894795107512,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
178,False,"{'a': 0.4, 'e': 0.937993610303448}",35,0,-37.981938823097884,"{0: 27, 1: 5, 2: 2, 3: 1, 4: 0}",0
